PRODUCT_FORM,MASA_HABIS_PAKAI_MEDIAN_BULAN,REFERENSI_DAN_LOGIKA_INDUSTRI
MASSAGE CREAM,7.00,Frekuensi sangat rendah meskipun volume sekali pakai cukup banyak.
HAND WASH,1.00,Siklus habis paling cepat karena digunakan oleh seluruh anggota rumah.
LEAVE IN TREATMENT,2.75,Melindungi kutikula rambut sepanjang hari secara konstan.
HAIR SERUM,2.50,Konsumsi mirip dengan hair oil namun berbasis air/ringan.
MUKENA,30.00,Siklus kerusakan material tekstil akibat pencucian berulang.
ACCESSORIES,9.00,Faktor keausan fisik atau kehilangan produk ukuran kecil.
SINGLE OIL,9.00,Penggunaan hitungan tetes tunggal (1 tetes ≈ 0.05 ml).
BLEND OIL,7.50,Perilaku pakai mirip single oil namun frekuensi sering lebih tinggi.
EXFOLIATING,4.50,Batasan klinis: Tidak boleh digunakan harian agar barrier kulit aman.
PANTS,36.00,Faktor keausan kain fisik (wear and tear).
BAGS,48.00,Bahan polimer/kanvas tahan lama dengan perawatan baik.
MASSAGE OIL,6.00,"Daya sebar minyak tinggi, volume per aplikasi efisien."
